file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,43,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,44,css,0196775e,JerpBob,2025-01-24,18:00:58,-08:00,2025-01-24T18:00:58-08:00,0,22
style.css,45,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,19
style.css,46,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,26
style.css,47,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,40
style.css,48,css,0196775e,JerpBob,2025-01-24,18:00:58,-08:00,2025-01-24T18:00:58-08:00,0,70
style.css,49,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,50,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,51,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,5
style.css,52,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,13
style.css,53,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,31
style.css,54,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,8
style.css,55,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,56,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,57,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,6
style.css,58,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,13
style.css,59,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,30
style.css,60,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,19
style.css,61,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,62,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,63,css,0196775e,JerpBob,2025-01-24,18:00:58,-08:00,2025-01-24T18:00:58-08:00,0,14
style.css,64,css,0196775e,JerpBob,2025-01-24,18:00:58,-08:00,2025-01-24T18:00:58-08:00,0,18
style.css,65,css,0196775e,JerpBob,2025-01-24,18:00:58,-08:00,2025-01-24T18:00:58-08:00,0,9
style.css,66,css,0196775e,JerpBob,2025-01-24,18:00:58,-08:00,2025-01-24T18:00:58-08:00,0,11
style.css,67,css,0196775e,JerpBob,2025-01-24,18:00:58,-08:00,2025-01-24T18:00:58-08:00,0,14
style.css,68,css,0196775e,JerpBob,2025-01-24,18:00:58,-08:00,2025-01-24T18:00:58-08:00,0,13
style.css,69,css,0196775e,JerpBob,2025-01-24,18:00:58,-08:00,2025-01-24T18:00:58-08:00,0,0
style.css,70,css,0196775e,JerpBob,2025-01-24,18:00:58,-08:00,2025-01-24T18:00:58-08:00,0,0
style.css,71,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,7
style.css,72,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,13
style.css,73,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,19
style.css,74,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,75,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,76,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,6
style.css,77,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,13
style.css,78,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,79,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,80,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,9
style.css,81,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,13
style.css,82,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,83,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,84,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,10
style.css,85,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,13
style.css,86,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,87,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,59
style.css,88,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,89,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,8
style.css,90,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,14
style.css,91,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,13
style.css,92,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,27
style.css,93,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,16
style.css,94,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,8
style.css,95,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,96,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,3
style.css,97,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,9
style.css,98,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,99,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
